#BLUEpixel	count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	7
9	0
10	0
11	0
12	1
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	3
42	2
43	7
44	14
45	24
46	46
47	67
48	108
49	137
50	254
51	347
52	483
53	626
54	785
55	1135
56	1262
57	1631
58	1756
59	2201
60	2355
61	2514
62	2767
63	2943
64	2958
65	2921
66	2876
67	2907
68	2869
69	2873
70	2899
71	3043
72	2919
73	3041
74	3107
75	3238
76	3224
77	3140
78	3218
79	3189
80	3004
81	3030
82	3078
83	3008
84	2787
85	2834
86	2960
87	2962
88	2940
89	2911
90	2949
91	3107
92	2983
93	2922
94	3045
95	3017
96	2738
97	2826
98	2700
99	2818
100	2710
101	2618
102	2559
103	2777
104	2611
105	2643
106	2597
107	2582
108	2622
109	2560
110	2538
111	2558
112	2531
113	2517
114	2660
115	2641
116	2756
117	2867
118	2872
119	3066
120	2912
121	3011
122	2813
123	2909
124	2780
125	2745
126	2527
127	2097
128	2202
129	1984
130	1854
131	1756
132	1499
133	1331
134	1237
135	1146
136	1027
137	1015
138	874
139	905
140	839
141	866
142	808
143	849
144	801
145	870
146	791
147	801
148	796
149	770
150	757
151	889
152	838
153	863
154	914
155	868
156	844
157	880
158	967
159	972
160	837
161	924
162	901
163	924
164	830
165	809
166	819
167	897
168	797
169	802
170	797
171	784
172	746
173	721
174	725
175	673
176	674
177	629
178	633
179	641
180	632
181	652
182	580
183	599
184	575
185	583
186	580
187	511
188	525
189	471
190	421
191	393
192	297
193	330
194	274
195	219
196	191
197	183
198	166
199	152
200	109
201	108
202	75
203	91
204	67
205	67
206	61
207	56
208	37
209	30
210	27
211	23
212	19
213	24
214	18
215	8
216	7
217	4
218	2
219	1
220	0
221	0
222	0
223	3
224	1
225	1
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	0
254	0
255	0
