#REDpixel	count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	1
55	0
56	1
57	1
58	1
59	8
60	6
61	10
62	9
63	20
64	37
65	32
66	41
67	53
68	74
69	103
70	132
71	179
72	193
73	242
74	238
75	336
76	386
77	404
78	483
79	607
80	628
81	771
82	785
83	1001
84	1016
85	1177
86	1269
87	1332
88	1446
89	1487
90	1457
91	1574
92	1585
93	1591
94	1557
95	1569
96	1660
97	1648
98	1420
99	1559
100	1418
101	1384
102	1319
103	1342
104	1156
105	1120
106	955
107	969
108	828
109	782
110	752
111	737
112	719
113	700
114	628
115	673
116	587
117	617
118	610
119	592
120	557
121	593
122	552
123	566
124	582
125	559
126	571
127	520
128	664
129	650
130	618
131	730
132	594
133	667
134	675
135	685
136	771
137	715
138	667
139	740
140	744
141	766
142	765
143	772
144	817
145	817
146	744
147	806
148	760
149	777
150	812
151	797
152	799
153	861
154	814
155	910
156	907
157	918
158	888
159	1011
160	879
161	996
162	912
163	952
164	884
165	1074
166	977
167	1073
168	1040
169	1216
170	1250
171	1403
172	1534
173	1639
174	1682
175	1776
176	1874
177	1769
178	1582
179	1743
180	1441
181	1477
182	1483
183	1409
184	1437
185	1449
186	1389
187	1479
188	1592
189	1655
190	1657
191	1666
192	1857
193	1896
194	1813
195	1979
196	1814
197	1956
198	1928
199	2055
200	2012
201	2303
202	2333
203	2670
204	2787
205	3232
206	3154
207	3476
208	3424
209	3516
210	3102
211	3176
212	2787
213	2885
214	2630
215	2731
216	2664
217	2955
218	2955
219	3360
220	3554
221	4138
222	3987
223	4057
224	4327
225	3713
226	3185
227	2929
228	2551
229	2432
230	2195
231	2256
232	1960
233	2126
234	2186
235	2265
236	2417
237	2445
238	2282
239	1826
240	1972
241	1456
242	1137
243	986
244	748
245	749
246	667
247	582
248	428
249	357
250	313
251	302
252	242
253	178
254	67
255	112
